Velaryon,Napolethanos,Sesko,Rco diao,Gottismo,FDP,Borussia,Qara,Pisa,Fredin,Cani,Ostia,Vikings,Rubin,Chiquita,Energy
V,V,V,V,V,V,V,V,V,V,V,V,V,V,,
V,V,V,V,V,V,V,V,V,V,V,V,V,V,,
,S,S,S,P,V,V,V,V,P,V,P,S,P,,
V,,P,S,V,V,V,V,V,V,V,V,P,V,,
V,P,,S,V,V,V,V,V,V,V,V,P,V,,
V,V,V,,V,V,V,V,V,V,V,V,V,V,,
P,S,S,S,,V,V,V,V,P,V,P,S,P,,
S,S,S,S,S,,P,P,P,S,P,S,S,S,,
S,S,S,S,S,P,,P,P,S,P,S,S,S,,
S,S,S,S,S,P,P,,P,S,P,S,S,S,,
S,S,S,S,S,P,P,P,,S,P,S,S,S,,
P,S,S,S,P,V,V,V,V,,V,P,S,P,,
S,S,S,S,S,P,P,P,P,S,,S,S,S,,
P,S,S,S,P,V,V,V,V,P,V,,S,P,,
V,P,P,S,V,V,V,V,V,V,V,V,,V,,
P,S,S,S,P,V,V,V,V,P,V,P,S,,,
S,P,S,S,P,S,S,P,S,V,P,P,S,V,,
S,S,S,S,P,S,S,S,S,P,P,S,S,P,S,
,P,P,S,V,P,P,P,S,V,V,P,S,V,V,
P,,P,S,V,P,P,P,S,V,V,P,S,V,P,
P,P,,S,V,P,P,V,S,V,V,P,S,V,V,
V,V,V,,V,V,V,V,P,V,V,V,P,V,V,
S,S,S,S,,S,S,P,S,P,P,S,S,P,P,
P,P,P,S,V,,P,P,S,V,V,P,S,V,V,
P,P,P,S,V,P,,P,S,V,V,P,S,V,V,
P,P,S,S,P,P,P,,S,V,V,P,S,V,P,
V,V,V,P,V,V,V,V,,V,V,V,P,V,V,
S,S,S,S,P,S,S,S,S,,P,S,S,P,S,
S,S,S,S,P,S,S,S,S,P,,S,S,P,P,
P,P,P,S,V,P,P,P,S,V,V,,S,V,P,
V,V,V,P,V,V,V,V,P,V,V,V,,V,V,
S,S,S,S,P,S,S,S,S,P,P,S,S,,S,
V,P,V,V,V,V,V,P,V,V,V,S,P,V,,V
S,S,S,P,P,S,S,S,P,P,P,S,S,P,S,
,S,P,V,P,S,P,S,P,V,V,S,S,V,S,V
V,,V,V,V,V,V,P,V,V,V,S,P,V,P,V
P,S,,V,V,P,P,S,V,V,V,S,S,V,S,V
S,S,S,,P,S,S,S,P,P,P,S,S,P,S,P
P,S,S,P,,S,S,S,P,V,V,S,S,V,S,P
V,S,P,V,V,,P,S,V,V,V,S,S,V,S,V
P,S,P,V,V,P,,S,V,V,V,S,S,V,S,V
V,P,V,V,V,V,V,,V,V,V,S,P,V,P,V
P,S,S,P,P,S,S,S,,V,P,S,S,V,S,P
S,S,S,P,S,S,S,S,S,,P,S,S,P,S,P
S,S,S,P,S,S,S,S,P,P,,S,S,P,S,P
V,V,V,V,V,V,V,V,V,V,V,,V,V,V,V
V,P,V,V,V,V,V,P,V,V,V,S,,V,P,V
S,S,S,P,S,S,S,S,S,P,P,S,S,,S,P
